data;price
01/01/2024;2.667
29/12/2023;2.327
28/12/2023;2.377
27/12/2023;2.437
26/12/2023;2.419
25/12/2023;2.418
22/12/2023;2.490
21/12/2023;2.459
20/12/2023;2.347
19/12/2023;2.366
18/12/2023;2.416
15/12/2023;2.425
14/12/2023;2.347
13/12/2023;2.292
12/12/2023;2.240
11/12/2023;2.350
08/12/2023;2.504
07/12/2023;2.520
06/12/2023;2.517
05/12/2023;2.667
04/12/2023;2.651
01/12/2023;2.773
30/11/2023;2.763
29/11/2023;2.769
28/11/2023;2.837
27/11/2023;2.946
24/11/2023;2.999
23/11/2023;2.930
22/11/2023;3.033
21/11/2023;2.993
20/11/2023;3.050
17/11/2023;3.131
16/11/2023;3.239
15/11/2023;3.362
14/11/2023;3.316
13/11/2023;3.400
10/11/2023;3.284
09/11/2023;3.333
08/11/2023;3.389
07/11/2023;3.463
06/11/2023;3.564
03/11/2023;3.795
02/11/2023;3.750
01/11/2023;3.753
31/10/2023;3.813
30/10/2023;3.589
27/10/2023;3.483
26/10/2023;3.477
25/10/2023;3.376
24/10/2023;3.322
23/10/2023;3.273
20/10/2023;3.258
19/10/2023;3.326
18/10/2023;3.463
17/10/2023;3.468
16/10/2023;3.479
13/10/2023;3.584
12/10/2023;3.639
11/10/2023;3.658
10/10/2023;3.659
09/10/2023;3.631
06/10/2023;3.641
05/10/2023;3.511
04/10/2023;3.320
03/10/2023;3.313
02/10/2023;3.233
29/09/2023;3.312
28/09/2023;3.340
27/09/2023;2.899
26/09/2023;2.845
25/09/2023;2.906
22/09/2023;2.879
21/09/2023;2.840
20/09/2023;2.921
19/09/2023;3.026
18/09/2023;3.001
15/09/2023;2.932
14/09/2023;2.983
13/09/2023;2.987
12/09/2023;3.015
11/09/2023;2.937
08/09/2023;2.966
07/09/2023;2.958
06/09/2023;2.943
05/09/2023;2.991
04/09/2023;2.647
03/09/2023;2.671
01/09/2023;3.111
31/08/2023;3.147
30/08/2023;3.181
29/08/2023;2.662
28/08/2023;2.665
25/08/2023;2.657
24/08/2023;2.636
23/08/2023;2.592
22/08/2023;2.652
21/08/2023;2.743
18/08/2023;2.691
17/08/2023;2.755
16/08/2023;2.726
15/08/2023;2.781
14/08/2023;2.898
11/08/2023;2.882
10/08/2023;2.870
09/08/2023;3.053
08/08/2023;2.864
07/08/2023;2.813
04/08/2023;2.681
03/08/2023;2.670
02/08/2023;2.586
01/08/2023;2.672
31/07/2023;2.741
28/07/2023;2.753
27/07/2023;2.595
26/07/2023;2.693
25/07/2023;2.747
24/07/2023;2.688
21/07/2023;2.707
20/07/2023;2.731
19/07/2023;2.585
18/07/2023;2.618
17/07/2023;2.504
14/07/2023;2.530
13/07/2023;2.534
12/07/2023;2.597
11/07/2023;2.692
10/07/2023;2.641
07/07/2023;2.570
06/07/2023;2.599
05/07/2023;2.643
04/07/2023;2.751
03/07/2023;2.702
30/06/2023;2.774
29/06/2023;2.691
28/06/2023;2.668
27/06/2023;2.789
26/06/2023;2.892
23/06/2023;2.843
22/06/2023;2.704
21/06/2023;2.677
20/06/2023;2.570
19/06/2023;2.643
18/06/2023;2.602
16/06/2023;2.721
15/06/2023;2.609
14/06/2023;2.413
13/06/2023;2.407
12/06/2023;2.336
09/06/2023;2.331
08/06/2023;2.434
07/06/2023;2.433
06/06/2023;2.381
05/06/2023;2.366
02/06/2023;2.299
01/06/2023;2.273
31/05/2023;2.358
30/05/2023;2.416
29/05/2023;2.349
28/05/2023;2.435
26/05/2023;2.417
25/05/2023;2.476
24/05/2023;2.566
23/05/2023;2.489
22/05/2023;2.551
19/05/2023;2.707
18/05/2023;2.715
17/05/2023;2.509
16/05/2023;2.534
15/05/2023;2.542
12/05/2023;2.438
11/05/2023;2.345
10/05/2023;2.336
09/05/2023;2.427
08/05/2023;2.412
05/05/2023;2.321
04/05/2023;2.297
03/05/2023;2.360
02/05/2023;2.417
01/05/2023;2.498
28/04/2023;2.578
27/04/2023;2.548
26/04/2023;2.305
25/04/2023;2.437
24/04/2023;2.471
21/04/2023;2.408
20/04/2023;2.427
19/04/2023;2.395
18/04/2023;2.517
17/04/2023;2.444
14/04/2023;2.305
13/04/2023;2.197
12/04/2023;2.267
11/04/2023;2.351
10/04/2023;2.361
06/04/2023;2.238
05/04/2023;2.381
04/04/2023;2.344
03/04/2023;2.333
31/03/2023;2.465
30/03/2023;2.358
29/03/2023;2.184
28/03/2023;2.147
27/03/2023;2.215
24/03/2023;2.361
23/03/2023;2.283
22/03/2023;2.307
21/03/2023;2.485
20/03/2023;2.331
17/03/2023;2.446
16/03/2023;2.626
15/03/2023;2.546
14/03/2023;2.690
13/03/2023;2.726
10/03/2023;2.559
09/03/2023;2.683
08/03/2023;2.713
